"","provincia","accidentes_victimas","accidentes_mortales","fallecidos","heridos_hospitalizados","heridos_no_hospitalizados","tipo_via","año"
"424","Barcelona",14657,66,68,720,17864,"Vias urbanas",2015
"425","Burgos",479,4,4,46,562,"Vias urbanas",2015
"426","Cáceres",209,2,2,12,262,"Vias urbanas",2015
"427","Cádiz",2458,12,13,148,3411,"Vias urbanas",2015
"428","Castellón/Castelló",302,6,6,28,344,"Vias urbanas",2015
"429","Ciudad Real",347,3,3,15,439,"Vias urbanas",2015
"430","Córdoba",1009,5,5,65,1238,"Vias urbanas",2015
"431","Coruña (A)",543,7,7,74,619,"Vias urbanas",2015
"432","Cuenca",85,1,1,18,99,"Vias urbanas",2015
"433","Girona",1259,10,10,121,1451,"Vias urbanas",2015
"434","Granada",523,11,11,42,638,"Vias urbanas",2015
"435","Guadalajara",65,0,0,10,65,"Vias urbanas",2015
"436","Gipuzkoa",912,8,8,56,1015,"Vias urbanas",2015
"437","Huelva",243,4,4,21,304,"Vias urbanas",2015
"438","Huesca",181,1,1,29,195,"Vias urbanas",2015
"439","Jaén",628,5,5,30,850,"Vias urbanas",2015
"440","León",388,7,7,62,435,"Vias urbanas",2015
"441","Lleida",424,7,8,48,489,"Vias urbanas",2015
"442","Rioja (La)",467,6,6,48,538,"Vias urbanas",2015
"443","Lugo",229,2,3,43,275,"Vias urbanas",2015
"444","Madrid",12632,44,45,1141,14876,"Vias urbanas",2015
"445","Málaga",1648,19,19,148,1996,"Vias urbanas",2015
"446","Murcia",1350,10,10,135,1674,"Vias urbanas",2015
"447","Navarra",215,6,6,54,197,"Vias urbanas",2015
"448","Ourense",199,2,2,33,218,"Vias urbanas",2015
"449","Asturias",1413,11,13,115,1818,"Vias urbanas",2015
"450","Palencia",115,0,0,12,129,"Vias urbanas",2015
"451","Palmas (Las)",827,6,6,65,1040,"Vias urbanas",2015
"452","Pontevedra",903,8,9,96,1171,"Vias urbanas",2015
"453","Salamanca",377,2,2,34,413,"Vias urbanas",2015
"454","Santa Cruz de Tenerife",825,13,13,58,976,"Vias urbanas",2015
"455","Cantabria",110,3,3,3,153,"Vias urbanas",2015
"456","Segovia",119,3,3,9,129,"Vias urbanas",2015
"457","Sevilla",4200,15,17,81,5861,"Vias urbanas",2015
"458","Soria",26,2,2,12,15,"Vias urbanas",2015
"459","Tarragona",939,14,16,106,1091,"Vias urbanas",2015
"460","Teruel",29,3,3,8,28,"Vias urbanas",2015
"461","Toledo",302,7,7,23,367,"Vias urbanas",2015
"462","Valencia/València",2652,17,17,239,2895,"Vias urbanas",2015
"463","Valladolid",463,2,2,46,558,"Vias urbanas",2015
"464","Bizkaia",949,5,5,49,1256,"Vias urbanas",2015
"465","Zamora",7,1,1,0,12,"Vias urbanas",2015
"466","Zaragoza",953,6,6,131,1075,"Vias urbanas",2015
"467","Ceuta",284,3,3,8,400,"Vias urbanas",2015
"468","Melilla",593,2,2,19,799,"Vias urbanas",2015
"469","Araba/Álava",245,7,7,48,315,"Vias interurbanas",2015
"470","Albacete",156,14,16,52,206,"Vias interurbanas",2015
"471","Alicante/Alacant",1227,34,36,98,1820,"Vias interurbanas",2015
"472","Almería",514,18,21,73,800,"Vias interurbanas",2015
"473","Ávila",280,12,16,49,350,"Vias interurbanas",2015
"474","Badajoz",402,28,31,69,543,"Vias interurbanas",2015
"475","Balears (Illes)",1271,42,42,246,1708,"Vias interurbanas",2015
"476","Barcelona",4968,57,60,425,6964,"Vias interurbanas",2015
"477","Burgos",309,22,28,94,410,"Vias interurbanas",2015
"478","Cáceres",309,12,15,38,426,"Vias interurbanas",2015
"479","Cádiz",622,18,19,81,1033,"Vias interurbanas",2015
"480","Castellón/Castelló",406,17,22,69,487,"Vias interurbanas",2015
"481","Ciudad Real",293,22,24,46,425,"Vias interurbanas",2015
"482","Córdoba",482,21,21,53,687,"Vias interurbanas",2015
"483","Coruña (A)",900,38,40,160,1152,"Vias interurbanas",2015
"484","Cuenca",231,15,15,39,316,"Vias interurbanas",2015
"485","Girona",1150,30,31,157,1546,"Vias interurbanas",2015
"486","Granada",728,31,32,130,1021,"Vias interurbanas",2015
"487","Guadalajara",153,9,11,38,190,"Vias interurbanas",2015
"488","Gipuzkoa",842,26,30,143,957,"Vias interurbanas",2015
"489","Huelva",478,17,19,59,750,"Vias interurbanas",2015
"490","Huesca",301,15,16,82,347,"Vias interurbanas",2015
"491","Jaén",395,16,18,62,599,"Vias interurbanas",2015
"492","León",422,31,32,108,590,"Vias interurbanas",2015
"493","Lleida",827,39,43,161,1038,"Vias interurbanas",2015
"494","Rioja (La)",240,10,14,23,348,"Vias interurbanas",2015
"495","Lugo",320,19,19,98,378,"Vias interurbanas",2015
"496","Madrid",2790,57,66,173,3813,"Vias interurbanas",2015
"497","Málaga",866,26,27,89,1310,"Vias interurbanas",2015
"498","Murcia",405,31,34,84,624,"Vias interurbanas",2015
"499","Navarra",235,19,20,58,277,"Vias interurbanas",2015
"500","Ourense",204,9,9,50,249,"Vias interurbanas",2015
"501","Asturias",961,23,23,115,1377,"Vias interurbanas",2015
"502","Palencia",149,6,6,37,207,"Vias interurbanas",2015
"503","Palmas (Las)",645,16,16,80,931,"Vias interurbanas",2015
"504","Pontevedra",1165,33,34,179,1731,"Vias interurbanas",2015
"505","Salamanca",266,12,15,54,339,"Vias interurbanas",2015
"506","Santa Cruz de Tenerife",972,26,27,144,1375,"Vias interurbanas",2015
"507","Cantabria",593,17,19,54,833,"Vias interurbanas",2015
"508","Segovia",205,11,13,37,289,"Vias interurbanas",2015
"509","Sevilla",1171,24,26,161,1860,"Vias interurbanas",2015
"510","Soria",95,6,8,19,116,"Vias interurbanas",2015
"511","Tarragona",1062,45,55,138,1356,"Vias interurbanas",2015
"512","Teruel",119,11,13,37,116,"Vias interurbanas",2015
"513","Toledo",547,22,24,105,766,"Vias interurbanas",2015
"514","Valencia/València",1575,44,47,163,2221,"Vias interurbanas",2015
"515","Valladolid",373,17,22,58,563,"Vias interurbanas",2015
"516","Bizkaia",935,14,14,59,1307,"Vias interurbanas",2015
"517","Zamora",101,14,20,44,109,"Vias interurbanas",2015
"518","Zaragoza",617,28,32,98,816,"Vias interurbanas",2015
"519","Ceuta",35,0,0,7,44,"Vias interurbanas",2015
"520","Melilla",1,0,0,0,1,"Vias interurbanas",2015
