"","provincia","accidentes_victimas","accidentes_mortales","fallecidos","heridos_hospitalizados","heridos_no_hospitalizados","tipo_via","año"
"86","Palencia",105,6,6,41,118,"Vias interurbanas",2019
"87","Palmas (Las)",823,18,21,51,1287,"Vias interurbanas",2019
"88","Pontevedra",1137,26,28,127,1697,"Vias interurbanas",2019
"89","Salamanca",266,8,13,33,366,"Vias interurbanas",2019
"90","Santa Cruz de Tenerife",1051,27,28,191,1369,"Vias interurbanas",2019
"91","Cantabria",618,13,13,56,890,"Vias interurbanas",2019
"92","Segovia",217,5,6,18,302,"Vias interurbanas",2019
"93","Sevilla",1152,41,49,141,1731,"Vias interurbanas",2019
"94","Soria",94,6,6,20,116,"Vias interurbanas",2019
"95","Tarragona",1139,38,44,119,1483,"Vias interurbanas",2019
"96","Teruel",166,7,7,47,182,"Vias interurbanas",2019
"97","Toledo",600,20,22,71,844,"Vias interurbanas",2019
"98","Valencia/València",1773,47,48,166,2494,"Vias interurbanas",2019
"99","Valladolid",378,15,15,58,483,"Vias interurbanas",2019
"100","Bizkaia",975,17,17,73,1298,"Vias interurbanas",2019
"101","Zamora",134,11,15,30,179,"Vias interurbanas",2019
"102","Zaragoza",594,21,23,69,861,"Vias interurbanas",2019
"103","Ceuta",29,0,0,6,39,"Vias interurbanas",2019
"104","Melilla",0,0,0,0,0,"Vias interurbanas",2019
"105","Araba/Álava",664,3,3,39,743,"Vias urbanas",2018
"106","Albacete",549,1,1,43,637,"Vias urbanas",2018
"107","Alicante/Alacant",1626,16,16,197,1810,"Vias urbanas",2018
"108","Almería",492,7,7,32,626,"Vias urbanas",2018
"109","Ávila",112,1,1,7,132,"Vias urbanas",2018
"110","Badajoz",553,7,7,39,665,"Vias urbanas",2018
"111","Balears (Illes)",2059,11,11,135,2349,"Vias urbanas",2018
"112","Barcelona",15338,71,72,674,18355,"Vias urbanas",2018
"113","Burgos",466,6,6,39,544,"Vias urbanas",2018
"114","Cáceres",227,4,4,30,249,"Vias urbanas",2018
"115","Cádiz",1872,15,15,115,2464,"Vias urbanas",2018
"116","Castellón/Castelló",302,4,4,38,323,"Vias urbanas",2018
"117","Ciudad Real",191,2,2,11,243,"Vias urbanas",2018
"118","Córdoba",624,11,11,51,738,"Vias urbanas",2018
"119","Coruña (A)",749,12,12,107,819,"Vias urbanas",2018
"120","Cuenca",67,3,3,13,77,"Vias urbanas",2018
"121","Girona",1335,16,17,106,1550,"Vias urbanas",2018
"122","Granada",827,10,10,51,988,"Vias urbanas",2018
"123","Guadalajara",69,1,1,8,73,"Vias urbanas",2018
"124","Gipuzkoa",900,3,3,60,978,"Vias urbanas",2018
"125","Huelva",293,3,3,63,337,"Vias urbanas",2018
"126","Huesca",127,2,2,9,145,"Vias urbanas",2018
"127","Jaén",447,7,7,36,577,"Vias urbanas",2018
"128","León",347,9,9,59,360,"Vias urbanas",2018
"129","Lleida",483,4,4,43,556,"Vias urbanas",2018
"130","Rioja (La)",407,4,4,40,502,"Vias urbanas",2018
"131","Lugo",196,4,4,28,229,"Vias urbanas",2018
"132","Madrid",13353,61,63,997,15529,"Vias urbanas",2018
"133","Málaga",3433,17,17,130,4275,"Vias urbanas",2018
"134","Murcia",1962,20,20,172,2395,"Vias urbanas",2018
"135","Navarra",554,6,6,57,617,"Vias urbanas",2018
"136","Ourense",156,4,4,41,153,"Vias urbanas",2018
"137","Asturias",1131,7,7,78,1384,"Vias urbanas",2018
"138","Palencia",60,2,2,11,64,"Vias urbanas",2018
"139","Palmas (Las)",485,13,13,25,620,"Vias urbanas",2018
"140","Pontevedra",419,9,9,50,489,"Vias urbanas",2018
"141","Salamanca",194,3,3,13,214,"Vias urbanas",2018
"142","Santa Cruz de Tenerife",1036,10,10,107,1189,"Vias urbanas",2018
"143","Cantabria",104,5,6,18,111,"Vias urbanas",2018
"144","Segovia",103,0,0,11,121,"Vias urbanas",2018
"145","Sevilla",3298,17,17,139,4414,"Vias urbanas",2018
"146","Soria",41,1,1,12,47,"Vias urbanas",2018
"147","Tarragona",896,12,12,106,1036,"Vias urbanas",2018
"148","Teruel",24,0,0,8,18,"Vias urbanas",2018
"149","Toledo",105,3,3,20,115,"Vias urbanas",2018
"150","Valencia/València",2500,20,20,126,2888,"Vias urbanas",2018
"151","Valladolid",543,9,9,33,610,"Vias urbanas",2018
"152","Bizkaia",932,7,7,80,1115,"Vias urbanas",2018
"153","Zamora",90,3,3,14,87,"Vias urbanas",2018
"154","Zaragoza",951,12,12,138,1040,"Vias urbanas",2018
"155","Ceuta",365,3,3,10,506,"Vias urbanas",2018
"156","Melilla",350,3,3,15,444,"Vias urbanas",2018
"157","Araba/Álava",380,11,12,67,477,"Vias interurbanas",2018
"158","Albacete",159,10,10,47,209,"Vias interurbanas",2018
"159","Alicante/Alacant",1395,41,44,152,1908,"Vias interurbanas",2018
"160","Almería",702,20,20,79,1154,"Vias interurbanas",2018
"161","Ávila",270,14,15,45,344,"Vias interurbanas",2018
"162","Badajoz",398,24,25,78,590,"Vias interurbanas",2018
"163","Balears (Illes)",1391,40,42,175,1983,"Vias interurbanas",2018
"164","Barcelona",5524,79,91,375,7767,"Vias interurbanas",2018
"165","Burgos",283,23,26,70,409,"Vias interurbanas",2018
"166","Cáceres",277,14,15,40,377,"Vias interurbanas",2018
"167","Cádiz",684,21,21,91,1012,"Vias interurbanas",2018
"168","Castellón/Castelló",583,30,31,91,726,"Vias interurbanas",2018
"169","Ciudad Real",309,21,23,35,445,"Vias interurbanas",2018
"170","Córdoba",453,19,23,71,682,"Vias interurbanas",2018
"171","Coruña (A)",1003,49,52,168,1294,"Vias interurbanas",2018
"172","Cuenca",183,15,17,52,230,"Vias interurbanas",2018
"173","Girona",1215,33,38,158,1653,"Vias interurbanas",2018
"174","Granada",865,20,21,86,1264,"Vias interurbanas",2018
"175","Guadalajara",258,7,9,21,370,"Vias interurbanas",2018
"176","Gipuzkoa",884,9,10,111,1057,"Vias interurbanas",2018
"177","Huelva",425,11,15,65,673,"Vias interurbanas",2018
"178","Huesca",253,22,25,60,317,"Vias interurbanas",2018
"179","Jaén",408,19,24,56,635,"Vias interurbanas",2018
"180","León",472,24,26,74,645,"Vias interurbanas",2018
"181","Lleida",948,33,39,137,1308,"Vias interurbanas",2018
"182","Rioja (La)",195,6,6,28,249,"Vias interurbanas",2018
"183","Lugo",336,21,22,57,468,"Vias interurbanas",2018
"184","Madrid",3261,49,51,188,4571,"Vias interurbanas",2018
"185","Málaga",832,21,22,94,1298,"Vias interurbanas",2018
"186","Murcia",556,42,46,113,776,"Vias interurbanas",2018
"187","Navarra",271,24,29,62,331,"Vias interurbanas",2018
"188","Ourense",246,15,15,62,313,"Vias interurbanas",2018
"189","Asturias",937,28,36,126,1285,"Vias interurbanas",2018
"190","Palencia",125,8,9,39,149,"Vias interurbanas",2018
"191","Palmas (Las)",787,26,26,70,1205,"Vias interurbanas",2018
"192","Pontevedra",1275,25,26,109,1880,"Vias interurbanas",2018
"193","Salamanca",306,10,11,38,404,"Vias interurbanas",2018
"194","Santa Cruz de Tenerife",1131,18,19,199,1545,"Vias interurbanas",2018
"195","Cantabria",524,14,17,44,798,"Vias interurbanas",2018
"196","Segovia",254,10,12,29,361,"Vias interurbanas",2018
"197","Sevilla",1156,37,41,125,1779,"Vias interurbanas",2018
"198","Soria",103,10,14,20,114,"Vias interurbanas",2018
"199","Tarragona",1168,47,53,95,1507,"Vias interurbanas",2018
"200","Teruel",161,9,10,51,166,"Vias interurbanas",2018
"201","Toledo",604,29,31,89,911,"Vias interurbanas",2018
"202","Valencia/València",1780,63,68,179,2522,"Vias interurbanas",2018
"203","Valladolid",344,14,14,53,485,"Vias interurbanas",2018
"204","Bizkaia",992,13,14,71,1353,"Vias interurbanas",2018
"205","Zamora",151,14,15,36,176,"Vias interurbanas",2018
"206","Zaragoza",634,33,36,64,899,"Vias interurbanas",2018
"207","Ceuta",41,0,0,6,50,"Vias interurbanas",2018
"208","Melilla",0,0,0,0,0,"Vias interurbanas",2018
"209","Araba/Álava",726,2,2,48,833,"Vias urbanas",2017
"210","Albacete",546,2,2,50,637,"Vias urbanas",2017
"211","Alicante/Alacant",1669,25,25,158,1942,"Vias urbanas",2017
"212","Almería",594,5,5,56,769,"Vias urbanas",2017
"213","Ávila",154,0,0,9,183,"Vias urbanas",2017
"214","Badajoz",650,8,8,56,790,"Vias urbanas",2017
"215","Balears (Illes)",2239,17,17,145,2580,"Vias urbanas",2017
"216","Barcelona",15364,62,63,645,18484,"Vias urbanas",2017
"217","Burgos",490,6,6,56,526,"Vias urbanas",2017
"218","Cáceres",187,1,1,11,242,"Vias urbanas",2017
"219","Cádiz",2197,11,11,133,2877,"Vias urbanas",2017
"220","Castellón/Castelló",295,15,15,35,312,"Vias urbanas",2017
"221","Ciudad Real",260,3,4,25,317,"Vias urbanas",2017
"222","Córdoba",729,9,9,60,879,"Vias urbanas",2017
"223","Coruña (A)",821,14,14,114,983,"Vias urbanas",2017
"224","Cuenca",90,2,2,12,104,"Vias urbanas",2017
"225","Girona",1421,13,13,114,1656,"Vias urbanas",2017
"226","Granada",1038,7,7,76,1215,"Vias urbanas",2017
"227","Guadalajara",67,1,1,10,79,"Vias urbanas",2017
"228","Gipuzkoa",944,8,8,65,1047,"Vias urbanas",2017
"229","Huelva",312,6,6,53,366,"Vias urbanas",2017
"230","Huesca",180,2,2,24,182,"Vias urbanas",2017
"231","Jaén",530,4,4,36,711,"Vias urbanas",2017
